,contributors,coordinates,created_at,entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata,place,retweet_count,retweeted,source,text,truncated,user
0,,,Sun Mar 31 17:36:51 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",0,False,,1112408429123887105,1112408429123887105,,,,,,False,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",,0,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Is NCAA basketball still on?
Seeing fewer posts lately. Has everyone's bank roll been obliterated",False,"{'id': 3987762705, 'id_str': '3987762705', 'name': 'Bruce Newman', 'screen_name': 'BruceLP4NV', 'location': 'Henderson, NV', 'description': 'Opinions are mine only.\nWe must go boldly into the darkness and be the light.\nCandidate for NV29', 'url': 'https://t.co/EioJIDOoSz', 'entities': {'url': {'urls': [{'url': 'https://t.co/EioJIDOoSz', 'expanded_url': 'http://brucelp4ad29.com', 'display_url': 'brucelp4ad29.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 750, 'friends_count': 689, 'listed_count': 12, 'created_at': 'Sun Oct 18 15:15:38 +0000 2015', 'favourites_count': 6145, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 72509, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1101279975070588928/McvQS8LF_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1101279975070588928/McvQS8LF_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3987762705/1548122836', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}"
1,,,Sun Mar 31 17:36:29 +0000 2019,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",0,False,,1112408337344151552,1112408337344151552,,,,,,False,en,"{'iso_language_code': 'en', 'result_type': 'recent'}","{'id': 'a592bd6ceb1319f7', 'url': 'https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', 'place_type': 'city', 'name': 'San Diego', 'full_name': 'San Diego, CA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]}, 'attributes': {}}",0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Why is Women’s college basketball played in quarters and Men’s college basketball played in halves?,False,"{'id': 522690487, 'id_str': '522690487', 'name': 'Cecil C.A. |Listen to my Podcast|', 'screen_name': 'bigmouthcec', 'location': 'C.A.lifornia (LA||IE||LB||SD)', 'description': 'PSW SD County | SA 24 Hour Fitness | SL Act Advocacy | Grown Folkz Bizness Podcast- Big Mouth Cec. God made you extraordinary. Believe beyond belief.', 'url': 'https://t.co/nQOXUSTfQM', 'entities': {'url': {'urls': [{'url': 'https://t.co/nQOXUSTfQM', 'expanded_url': 'https://itunes.apple.com/us/podcast/grown-folks-bizness-podcast/id1321768156?mt=2', 'display_url': 'itunes.apple.com/us/podcast/gro…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 168, 'friends_count': 457, 'listed_count': 1, 'created_at': 'Mon Mar 12 23:53:35 +0000 2012', 'favourites_count': 1940, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 5487, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1020311465570340865/kcsBASez_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1020311465570340865/kcsBASez_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/522690487/1514175139', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}"
